USGS station identification,Metropolitan Area Short Code,MANUII,PerEmbed,EPT
14199710,POR,4.39,58.48,14
14205400,POR,1.54,15.28,18
14206347,POR,28.21,85.45,3
14206435,POR,86.80,94.85,2
14206750,POR,20.50,96.97,6
14206950,POR,93.60,74.85,3
14211315,POR,75.01,52.12,6
434745123040200,POR,8.16,19.70,12
435212122483300,POR,2.31,9.39,16
440257123103200,POR,74.98,5.48,1
443326123165200,POR,9.71,61.21,6
445029122592600,POR,33.09,42.73,3
445551123015800,POR,85.95,25.28,5
450022123012400,POR,100,93.06,0
450955122291200,POR,6.99,3.64,18
451734122585400,POR,9.22,55.45,2
452149123194900,POR,3.41,32.48,18
452231122200000,POR,5.86,13.03,14
452337122243500,POR,17.78,25.45,3
452414122213200,POR,18.32,26.06,2
452526122364400,POR,72.93,59.39,7
452912122291200,POR,39.85,58.18,3
453506123125700,POR,0,28.79,16
454321122352300,POR,53.73,94.13,14
454510122424900,POR,26.24,68.18,9
454543122524900,POR,5.03,59.70,8
454549122295800,POR,11.57,32.73,15
455122122310600,POR,10.15,37.61,15
10167800,SLC,71.89,26.06,6
400927111354501,SLC,25.43,59.69,13
400959111363201,SLC,30.91,63.03,4
401442111402201,SLC,56.11,62.73,7
401653111400301,SLC,31.45,64.85,14
401850111392201,SLC,16.44,59.70,10
403707111463701,SLC,18.44,26.67,15
403755111514201,SLC,75.74,44.69,3
403927111523601,SLC,86.78,40.00,4
403945111501001,SLC,67.49,59.39,4
404000111515801,SLC,79.01,45.76,4
404140111481601,SLC,65.37,49.39,4
404143111500101,SLC,68.23,52.42,6
404218111525601,SLC,100,75.76,3
404317111503601,SLC,52.59,38.79,5
404349111512201,SLC,60.94,71.21,2
404430111495301,SLC,41.78,59.70,2
405854111534801,SLC,36.61,79.06,4
410041111581101,SLC,43.64,95.45,1
410148111535301,SLC,0,56.77,16
410231111565001,SLC,59.37,69.70,3
410250111571501,SLC,42.32,99.39,5
410342111574201,SLC,54.57,100,3
410453111570001,SLC,48.81,74.85,3
410501111555201,SLC,54.14,81.25,2
410522111541201,SLC,0.09,43.94,18
411407111580501,SLC,50.55,71.52,6
411413111554601,SLC,22.62,66.06,9
411413111564101,SLC,34.42,60.30,11
414258111502001,SLC,63.64,61.52,9
06713500,DEN,97.34,74.85,4
393557105033101,DEN,66.61,87.27,7
393613104511401,DEN,36.30,96.06,3
393948105053501,DEN,35.41,44.06,7
394107105021001,DEN,100,78.48,5
394409105020501,DEN,92.91,68.18,5
394553105075101,DEN,61.30,56.67,4
394629105063101,DEN,52.68,35.15,8
394919105074601,DEN,33.32,71.21,2
394921105015701,DEN,91.60,80.61,6
395324105035001,DEN,28.60,84.10,7
395554105085601,DEN,13.13,70.63,4
395707105100401,DEN,2.66,65.45,2
395958105113501,DEN,14.59,41.67,11
400000105125400,DEN,4.36,49.38,13
400023105142301,DEN,61.80,70.30,3
400217105123701,DEN,50.71,43.64,14
400607105094401,DEN,16.10,87.58,11
400810105071301,DEN,9.77,63.64,6
400855105090501,DEN,4.84,92.73,4
400925105023201,DEN,17.88,93.94,4
402549105043101,DEN,19.18,19.39,8
403035105035301,DEN,72.63,76.56,8
403048105042701,DEN,12.69,96.18,5
403308105001601,DEN,2.59,100,1
403356105024001,DEN,67.50,72.73,5
410714104480101,DEN,4.64,85.00,4
413659104370001,DEN,0,68.48,9
08049490,DFW,100,100,5
08049580,DFW,5.27,NC,6
08049955,DFW,77.11,100,5
08052740,DFW,5.45,100,4
08057200,DFW,96.95,100,6
08057431,DFW,67.30,NC,6
